sentence,IOB,tokens,aspect,position,sentiment,probs,confidence
"Brg has arrived , everything is ok , the size is right and ready to wear","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O']","['Brg', 'has', 'arrived', ',', 'everything', 'is', 'ok', ',', 'the', 'size', 'is', 'right', 'and', 'ready', 'to', 'wear']",['size'],[[9]],['Positive'],"[[0.0001386514923069626, 0.005269442684948444, 0.9945918917655945]]",[0.9946]
some items can be found cheaper easy to use too,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O']","['some', 'items', 'can', 'be', 'found', 'cheaper', 'easy', 'to', 'use', 'too']",['use'],[[8]],['Positive'],"[[0.00042962649604305625, 0.0009554533171467483, 0.9986149072647095]]",[0.9986]
i like shopee and the sellers i have encountered with pleasant experience however now everytime i want check whr the parcel is its either the tracking got prob or there is smth wrong with the parcel my parcel just came but based on the tracking it said its transfered to singpost for 4 days i now have 2 items with a seller that said on the app it hasnt been shipped but i msged himherseller it has alrdy been shipped so i do not know how am i gg to release the money to the seller because its still in the to ship section shopee fix this pls,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['i', 'like', 'shopee', 'and', 'the', 'sellers', 'i', 'have', 'encountered', 'with', 'pleasant', 'experience', 'however', 'now', 'everytime', 'i', 'want', 'check', 'whr', 'the', 'parcel', 'is', 'its', 'either', 'the', 'tracking', 'got', 'prob', 'or', 'there', 'is', 'smth', 'wrong', 'with', 'the', 'parcel', 'my', 'parcel', 'just', 'came', 'but', 'based', 'on', 'the', 'tracking', 'it', 'said', 'its', 'transfered', 'to', 'singpost', 'for', '4', 'days', 'i', 'now', 'have', '2', 'items', 'with', 'a', 'seller', 'that', 'said', 'on', 'the', 'app', 'it', 'hasnt', 'been', 'shipped', 'but', 'i', 'msged', 'himherseller', 'it', 'has', 'alrdy', 'been', 'shipped', 'so', 'i', 'do', 'not', 'know', 'how', 'am', 'i', 'gg', 'to', 'release', 'the', 'money', 'to', 'the', 'seller', 'because', 'its', 'still', 'in', 'the', 'to', 'ship', 'section', 'shopee', 'fix', 'this', 'pls']",[],[],[],[],[]
good good product quality good good product quality good good product quality good good product quality good good product quality good good product quality good good product quality good good product quality good good product quality good good product quality,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality', 'good', 'good', 'product', 'quality']",[],[],[],[],[]
safe until everything is in good condition,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","['safe', 'until', 'everything', 'is', 'in', 'good', 'condition']",[],[],[],[],[]
delivery was okay didnt wrap with extra wraps but it arrived in good condition bought during sale so its a bit cheaper than offline shops,"['B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['delivery', 'was', 'okay', 'didnt', 'wrap', 'with', 'extra', 'wraps', 'but', 'it', 'arrived', 'in', 'good', 'condition', 'bought', 'during', 'sale', 'so', 'its', 'a', 'bit', 'cheaper', 'than', 'offline', 'shops']",['delivery'],[[0]],['Negative'],"[[0.6984570622444153, 0.2885409891605377, 0.013002020306885242]]",[0.6985]
good experience tq,"['O', 'B-ASP', 'O']","['good', 'experience', 'tq']",['experience'],[[1]],['Positive'],"[[0.01336316205561161, 0.002318957122042775, 0.9843178987503052]]",[0.9843]
size is very small like xl,"['B-ASP', 'O', 'O', 'O', 'O', 'O']","['size', 'is', 'very', 'small', 'like', 'xl']",['size'],[[0]],['Negative'],"[[0.9988647699356079, 0.0008667182992212474, 0.0002685067884158343]]",[0.9989]
wide range of products at reasonable prices,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']","['wide', 'range', 'of', 'products', 'at', 'reasonable', 'prices']",['prices'],[[6]],['Positive'],"[[0.002016499638557434, 0.0006462078890763223, 0.997337281703949]]",[0.9973]
best service original and fast delivery,"['O', 'B-ASP', 'O', 'O', 'O', 'B-ASP']","['best', 'service', 'original', 'and', 'fast', 'delivery']","['service', 'delivery']","[[1], [5]]","['Positive', 'Positive']","[[0.004312810488045216, 0.0006725043058395386, 0.9950147271156311], [0.0053868782706558704, 0.0007662656134925783, 0.9938468337059021]]","[0.995, 0.9938]"
